comparison,left,right,metric,median_delta,mean_delta,improved_tasks,worse_tasks,tied_tasks
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,top5_operation_work,-0.4033,-0.4424,6,0,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,top5_session_work,-0.288,-0.3176,6,0,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,top5_positive_session_recall,-0.0465,-0.1782,0,5,1
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,top5_positive_session_f1,-0.033,-0.0315,2,4,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_positive_operation_recall,0.0293,0.0582,5,1,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_session_work,0.0172,0.1109,2,4,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_positive_session_recall,0.0023,0.1352,3,2,1
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_positive_session_f1,-0.0126,-0.0519,2,4,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_positive_session_lift,-0.0697,-0.0039,2,4,0
vs_dataset_native_query_aware,operation_stack:query_aware,dataset_native:query_aware,budget30_session_efficiency,-0.0697,-0.0039,2,4,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,top5_operation_work,0.0135,0.1086,2,4,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,top5_session_work,0.1605,0.209,1,5,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,top5_positive_session_recall,0.23,0.3611,5,1,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,top5_positive_session_f1,0.2637,0.2326,5,1,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_positive_operation_recall,0.0276,0.0655,4,2,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_session_work,0.1006,0.1638,0,5,1
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_positive_session_recall,0.0569,0.2146,6,0,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_positive_session_f1,0.0359,0.0234,4,2,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_positive_session_lift,-0.0588,0.0202,2,4,0
vs_fixed_session_query_aware,operation_stack:query_aware,fixed_session:query_aware,budget30_session_efficiency,-0.0588,0.0202,2,4,0
vs_flat_width,operation_stack:query_aware,flat:width,top5_operation_work,-0.9063,-0.8168,6,0,0
vs_flat_width,operation_stack:query_aware,flat:width,top5_session_work,-0.8217,-0.7251,6,0,0
vs_flat_width,operation_stack:query_aware,flat:width,top5_positive_session_recall,-0.7371,-0.5854,0,5,1
