doc,guardrail,status,occurrences,occurrence_lines,unguarded_lines
evaluation,human_utility,pass,12,"15,251,314,318,393,396,398,399,403,407,408,410",none
evaluation,automatic_boundary,pass,5,"184,251,392,393,415",none
evaluation,ecosystem_compatibility,pass,8,"12,15,30,251,313,392,410,498",none
evaluation,universal_selector,pass,9,"15,165,251,409,410,412,416,477,494",none
zh_claim_setup,human_utility,pass,12,"26,28,36,37,73,74,75,82,83,86,87,89",none
zh_claim_setup,automatic_boundary,pass,5,"23,25,26,36,233",none
zh_claim_setup,ecosystem_compatibility,pass,8,"22,67,85,137,184,221,222,223",none
zh_claim_setup,universal_selector,pass,11,"26,34,36,37,102,103,104,105,106,107,110",none
zh_main,human_utility,pass,9,"74,200,380,423,555,622,632,660,661",none
zh_main,automatic_boundary,pass,1,74,none
zh_main,ecosystem_compatibility,pass,12,"51,158,578,586,587,590,626,649,664,675,685,686",none
zh_main,universal_selector,pass,7,"74,468,474,553,615,652,657",none
en_main,human_utility,pass,4,"133,147,549,608",none
en_main,automatic_boundary,pass,2,"549,710",none
en_main,ecosystem_compatibility,pass,12,"641,643,651,653,654,655,661,662,711,792,793,795",none
en_main,universal_selector,pass,6,"386,389,542,550,690,697",none
