source,session_id_hash,session_tag,prompt_index,row_count,distinct_tags,tags,semantic_key_status
claude,06e833bf9c34,refactor,18,2,2,explain|refactor,tag_disambiguatable
claude,06e833bf9c34,refactor,19,2,1,refactor|refactor,same_tag_non_keyed
claude,06e833bf9c34,refactor,20,2,2,block|parse,tag_disambiguatable
claude,6765fb5303b8,review,21,2,2,test|review,tag_disambiguatable
claude,6765fb5303b8,review,22,2,1,review|review,same_tag_non_keyed
claude,6765fb5303b8,review,23,2,1,review|review,same_tag_non_keyed
claude,6765fb5303b8,review,24,2,1,review|review,same_tag_non_keyed
claude,4c203198c03c,review,8,2,1,review|review,same_tag_non_keyed
claude,b67753a05e43,refactor,18,2,1,refactor|refactor,same_tag_non_keyed
claude,b67753a05e43,refactor,19,2,1,refactor|refactor,same_tag_non_keyed
claude,9294a376a5b1,review,22,2,1,review|review,same_tag_non_keyed
claude,9294a376a5b1,review,23,2,1,review|review,same_tag_non_keyed
