rank,system_key,total_weight,distinct_prompt_tags,top_prompt,top_prompt_weight,top_prompt_share_pct,ambiguous_weight,ambiguous_share_pct,top_prompt_splits,example_semantic_stacks
1,process:tool:tool;effect:process;status:ok,13136,93,refactor,6316,48.082,6820,51.918,refactor=6316; review=1817; design=1443; analyze=797; test=597; benchmark=251; ignored=206; debug=185; research=167; validate=134,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:ok || project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/tool;effect:process;status:ok
2,process:git;effect:read;status:ok,5345,116,review,1335,24.977,4010,75.023,review=1335; refactor=1239; design=389; research=321; analyze=316; test=242; explain=185; docs=122; commitlog=109; commit=91,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:git;effect:read;status:ok || project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok || project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:git;effect:read;status:ok
3,process:tool:tool;effect:process;status:observed,7969,57,refactor,4236,53.156,3733,46.844,refactor=4236; design=908; analyze=782; benchmark=600; test=517; review=220; debug=122; docs=96; research=51; report=43,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:observed || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:observed || project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/tool;effect:process;status:observed
4,process:cargo;effect:test;status:ok,2000,48,refactor,639,31.95,1361,68.05,refactor=639; review=345; research=213; commitlog=146; explain=124; test=79; design=55; docs=37; trace=35; meta=25,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:cargo;effect:test;status:ok || project:agentsight;agent:codex;session:research;prompt:research;call:tool/shell;process:cargo;effect:test;status:ok || project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:cargo;effect:test;status:ok
5,process:python3;effect:process;status:ok,1829,70,refactor,718,39.256,1111,60.744,refactor=718; review=220; analyze=205; test=138; research=102; ignored=41; design=37; benchmark=31; docs=27; compare=27,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;status:ok || project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:python3;effect:process;status:ok || project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:python3;effect:process;status:ok
6,process:sed;effect:read;status:ok;path:native-sim/libnativeloader,1917,8,refactor,926,48.305,991,51.695,refactor=926; design=427; benchmark=332; review=161; test=48; analyze=18; compare=3; validate=2,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok || project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
7,process:rg;effect:read;status:ok;path:collector/src,1458,55,review,535,36.694,923,63.306,review=535; refactor=436; designcodex=99; design=82; test=46; designfix=35; analyze=29; trace=18; docs=13; codex=13,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok || project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok || project:agentsight;agent:codex;session:design;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok
8,process:ps;effect:process;status:ok,952,43,refactor,220,23.109,732,76.891,refactor=220; analyze=217; review=129; design=120; test=98; trace=17; debug=15; serve=12; testcodexrun=12; benchmark=11,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:ps;effect:process;status:ok || project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:ps;effect:process;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:ps;effect:process;status:ok
9,process:sed;effect:read;status:ok;path:native-sim/x86,1420,8,refactor,722,50.845,698,49.155,refactor=722; benchmark=320; design=310; review=63; proofing=2; compare=1; evaluate=1; test=1,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok || project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok
10,process:tool:tool;effect:process;status:fail,1616,42,refactor,952,58.911,664,41.089,refactor=952; design=196; benchmark=143; analyze=88; test=67; review=56; docs=14; research=12; branding=8; debug=7,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:fail || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:fail || project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:fail
11,process:rg;effect:read;status:ok;path:corpus/results,1023,14,refactor,410,40.078,613,59.922,refactor=410; design=209; review=167; benchmark=116; test=73; analyze=22; compare=11; research=5; trace=4; ignored=2,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok || project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok
12,process:rg;effect:read;status:ok;path:native-sim/libnativeloader,1276,8,refactor,667,52.273,609,47.727,refactor=667; design=245; benchmark=195; review=134; test=18; analyze=8; validate=6; compare=3,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok || project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok
13,process:sed;effect:read;status:ok;path:collector/src/framework,863,26,review,269,31.17,594,68.83,review=269; refactor=123; design=97; test=94; designcodex=70; feedback=38; docx=28; research=27; uxdesigncodx=24; summary=14,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:sed;effect:read;path:collector/src/framework;status:ok || project:agentsight;agent:codex;session:design;prompt:test;call:tool/shell;process:sed;effect:read;path:collector/src/framework;status:ok || project:agentsight;agent:codex;session:design;prompt:design;call:tool/shell;process:sed;effect:read;path:collector/src/framework;status:ok
14,process:find;effect:read;status:ok;path:corpus/results,898,17,refactor,323,35.969,575,64.031,refactor=323; design=160; test=131; review=90; benchmark=77; analyze=65; research=12; compare=9; configyaml=8; docs=6,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok || project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok || project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok
