dimension,kind,rank,tag,count,share_pct,unit
session_effect,raw,1,refactor,89914,48.942,effect_weight
session_effect,raw,2,review,29164,15.875,effect_weight
session_effect,raw,3,design,25434,13.844,effect_weight
session_effect,raw,4,analyze,12433,6.768,effect_weight
session_effect,raw,5,research,11891,6.473,effect_weight
session_effect,raw,6,test,5190,2.825,effect_weight
session_effect,raw,7,docs,3292,1.792,effect_weight
session_effect,raw,8,uxdesign,1148,0.625,effect_weight
session_effect,raw,9,branding,955,0.52,effect_weight
session_effect,raw,10,cleanup,604,0.329,effect_weight
session_effect,raw,11,cleanlocal,414,0.225,effect_weight
session_effect,raw,12,audit,317,0.173,effect_weight
session_effect,raw,13,report,290,0.158,effect_weight
session_effect,raw,14,refactorchk,288,0.157,effect_weight
session_effect,raw,15,debug,280,0.152,effect_weight
session_effect,raw,16,build,274,0.149,effect_weight
session_effect,raw,17,reviewbu,254,0.138,effect_weight
session_effect,raw,18,backup,230,0.125,effect_weight
session_effect,raw,19,license,196,0.107,effect_weight
session_effect,raw,20,visdesign,164,0.089,effect_weight
session_effect,canonical,1,refactor,89914,48.942,effect_weight
session_effect,canonical,2,review,29418,16.013,effect_weight
session_effect,canonical,3,design,26746,14.558,effect_weight
session_effect,canonical,4,analyze,12433,6.768,effect_weight
session_effect,canonical,5,research,11891,6.473,effect_weight
session_effect,canonical,6,test,5192,2.826,effect_weight
session_effect,canonical,7,docs,3392,1.846,effect_weight
session_effect,canonical,8,branding,955,0.52,effect_weight
session_effect,canonical,9,cleanup,604,0.329,effect_weight
session_effect,canonical,10,cleanlocal,414,0.225,effect_weight
session_effect,canonical,11,audit,317,0.173,effect_weight
session_effect,canonical,12,report,290,0.158,effect_weight
session_effect,canonical,13,refactorchk,288,0.157,effect_weight
session_effect,canonical,14,debug,280,0.152,effect_weight
session_effect,canonical,15,build,274,0.149,effect_weight
session_effect,canonical,16,backup,230,0.125,effect_weight
session_effect,canonical,17,license,196,0.107,effect_weight
session_effect,canonical,18,uximprove,140,0.076,effect_weight
session_effect,canonical,19,bpfanalyze,126,0.069,effect_weight
session_effect,canonical,20,verify,88,0.048,effect_weight
prompt_effect,raw,1,refactor,73162,39.824,effect_weight
prompt_effect,raw,2,review,33267,18.108,effect_weight
prompt_effect,raw,3,design,15705,8.549,effect_weight
prompt_effect,raw,4,analyze,11457,6.236,effect_weight
prompt_effect,raw,5,test,8012,4.361,effect_weight
prompt_effect,raw,6,research,4736,2.578,effect_weight
prompt_effect,raw,7,benchmark,4033,2.195,effect_weight
prompt_effect,raw,8,docs,3477,1.893,effect_weight
prompt_effect,raw,9,debug,1587,0.864,effect_weight
prompt_effect,raw,10,explain,1463,0.796,effect_weight
prompt_effect,raw,11,trace,1401,0.763,effect_weight
prompt_effect,raw,12,commitlog,1361,0.741,effect_weight
prompt_effect,raw,13,ignored,1221,0.665,effect_weight
prompt_effect,raw,14,designcodex,1074,0.585,effect_weight
prompt_effect,raw,15,testcodex,982,0.535,effect_weight
prompt_effect,raw,16,commit,739,0.402,effect_weight
prompt_effect,raw,17,build,724,0.394,effect_weight
prompt_effect,raw,18,validate,658,0.358,effect_weight
prompt_effect,raw,19,feedback,567,0.309,effect_weight
prompt_effect,raw,20,compare,535,0.291,effect_weight
prompt_effect,canonical,1,refactor,73281,39.889,effect_weight
prompt_effect,canonical,2,review,33600,18.289,effect_weight
prompt_effect,canonical,3,design,17294,9.414,effect_weight
prompt_effect,canonical,4,analyze,11639,6.335,effect_weight
prompt_effect,canonical,5,test,9381,5.106,effect_weight
prompt_effect,canonical,6,docs,4904,2.669,effect_weight
prompt_effect,canonical,7,research,4771,2.597,effect_weight
prompt_effect,canonical,8,benchmark,4050,2.205,effect_weight
prompt_effect,canonical,9,debug,1587,0.864,effect_weight
prompt_effect,canonical,10,trace,1508,0.821,effect_weight
prompt_effect,canonical,11,explain,1463,0.796,effect_weight
prompt_effect,canonical,12,commitlog,1361,0.741,effect_weight
prompt_effect,canonical,13,ignored,1221,0.665,effect_weight
prompt_effect,canonical,14,commit,739,0.402,effect_weight
prompt_effect,canonical,15,build,724,0.394,effect_weight
prompt_effect,canonical,16,validate,658,0.358,effect_weight
prompt_effect,canonical,17,feedback,567,0.309,effect_weight
prompt_effect,canonical,18,evaluate,547,0.298,effect_weight
prompt_effect,canonical,19,compare,535,0.291,effect_weight
prompt_effect,canonical,20,branding,509,0.277,effect_weight
prompt_rows,raw,1,refactor,899,31.445,row_count
prompt_rows,raw,2,review,448,15.67,row_count
prompt_rows,raw,3,analyze,200,6.995,row_count
prompt_rows,raw,4,design,124,4.337,row_count
prompt_rows,raw,5,docs,123,4.302,row_count
prompt_rows,raw,6,test,122,4.267,row_count
prompt_rows,raw,7,research,82,2.868,row_count
prompt_rows,raw,8,trace,53,1.854,row_count
prompt_rows,raw,9,testcodex,28,0.979,row_count
prompt_rows,raw,10,evaluate,26,0.909,row_count
prompt_rows,raw,11,validate,22,0.769,row_count
prompt_rows,raw,12,docsupdate,21,0.735,row_count
prompt_rows,raw,13,compare,21,0.735,row_count
prompt_rows,raw,14,debug,20,0.7,row_count
prompt_rows,raw,15,tag,18,0.63,row_count
prompt_rows,raw,16,build,15,0.525,row_count
prompt_rows,raw,17,cleanup,15,0.525,row_count
prompt_rows,raw,18,check,14,0.49,row_count
prompt_rows,raw,19,optimize,12,0.42,row_count
prompt_rows,raw,20,explain,12,0.42,row_count
prompt_rows,canonical,1,refactor,908,31.759,row_count
prompt_rows,canonical,2,review,452,15.81,row_count
prompt_rows,canonical,3,analyze,207,7.24,row_count
prompt_rows,canonical,4,docs,175,6.121,row_count
prompt_rows,canonical,5,test,157,5.491,row_count
prompt_rows,canonical,6,design,136,4.757,row_count
prompt_rows,canonical,7,research,83,2.903,row_count
prompt_rows,canonical,8,trace,60,2.099,row_count
prompt_rows,canonical,9,evaluate,31,1.084,row_count
prompt_rows,canonical,10,validate,22,0.769,row_count
prompt_rows,canonical,11,compare,21,0.735,row_count
prompt_rows,canonical,12,debug,20,0.7,row_count
prompt_rows,canonical,13,cleanup,19,0.665,row_count
prompt_rows,canonical,14,tag,18,0.63,row_count
prompt_rows,canonical,15,verify,18,0.63,row_count
prompt_rows,canonical,16,build,15,0.525,row_count
prompt_rows,canonical,17,check,14,0.49,row_count
prompt_rows,canonical,18,optimize,12,0.42,row_count
prompt_rows,canonical,19,explain,12,0.42,row_count
prompt_rows,canonical,20,read,12,0.42,row_count
llm_events,raw,1,refactor,41263,35.932,event_count
llm_events,raw,2,analyze,18712,16.294,event_count
llm_events,raw,3,design,9592,8.353,event_count
llm_events,raw,4,test,9184,7.997,event_count
llm_events,raw,5,tokenize,7402,6.446,event_count
llm_events,raw,6,report,6494,5.655,event_count
llm_events,raw,7,review,5248,4.57,event_count
llm_events,raw,8,docs,3335,2.904,event_count
llm_events,raw,9,debug,1816,1.581,event_count
llm_events,raw,10,build,1432,1.247,event_count
llm_events,raw,11,research,1068,0.93,event_count
llm_events,raw,12,trace,566,0.493,event_count
llm_events,raw,13,validate,508,0.442,event_count
llm_events,raw,14,audit,386,0.336,event_count
llm_events,raw,15,uxdesign,357,0.311,event_count
llm_events,raw,16,verify,303,0.264,event_count
llm_events,raw,17,check,294,0.256,event_count
llm_events,raw,18,cleanup,266,0.232,event_count
llm_events,raw,19,benchmark,175,0.152,event_count
llm_events,raw,20,evaluate,173,0.151,event_count
llm_events,canonical,1,refactor,41266,35.934,event_count
llm_events,canonical,2,analyze,18731,16.311,event_count
llm_events,canonical,3,design,9958,8.671,event_count
llm_events,canonical,4,test,9299,8.098,event_count
llm_events,canonical,5,tokenize,7402,6.446,event_count
