dimension,rank,tag,count,share_pct,unit
session_tag_by_sessions,1,review,82,25.231,sessions
session_tag_by_sessions,2,refactor,56,17.231,sessions
session_tag_by_sessions,3,docs,24,7.385,sessions
session_tag_by_sessions,4,design,16,4.923,sessions
session_tag_by_sessions,5,analyze,15,4.615,sessions
session_tag_by_sessions,6,countlines,11,3.385,sessions
session_tag_by_sessions,7,test,9,2.769,sessions
session_tag_by_sessions,8,research,8,2.462,sessions
session_tag_by_sessions,9,agentsightsm,8,2.462,sessions
session_tag_by_sessions,10,coda,7,2.154,sessions
session_tag_by_sessions,11,rootpidrefsc,5,1.538,sessions
session_tag_by_sessions,12,docsupdate,5,1.538,sessions
session_tag_by_sessions,13,jsonokno,5,1.538,sessions
session_tag_by_sessions,14,paperagentfl,5,1.538,sessions
session_tag_by_sessions,15,benchmarks,5,1.538,sessions
session_tag_by_sessions,16,rmarkdown,5,1.538,sessions
session_tag_by_sessions,17,verify,4,1.231,sessions
session_tag_by_sessions,18,bash,4,1.231,sessions
session_tag_by_sessions,19,build,3,0.923,sessions
session_tag_by_sessions,20,debug,3,0.923,sessions
session_tag_by_sessions,21,cleanup,3,0.923,sessions
session_tag_by_sessions,22,audit,2,0.615,sessions
session_tag_by_sessions,23,agentsight,2,0.615,sessions
session_tag_by_sessions,24,output,2,0.615,sessions
session_tag_by_sessions,25,branding,1,0.308,sessions
session_tag_by_sessions,26,report,1,0.308,sessions
session_tag_by_sessions,27,bpfanalyze,1,0.308,sessions
session_tag_by_sessions,28,cli,1,0.308,sessions
session_tag_by_sessions,29,confirmed,1,0.308,sessions
session_tag_by_sessions,30,agentsightb,1,0.308,sessions
session_tag_by_sessions,31,sslcountchk,1,0.308,sessions
session_tag_by_sessions,32,rawsslok,1,0.308,sessions
session_tag_by_sessions,33,sslverify,1,0.308,sessions
session_tag_by_sessions,34,agentsightr,1,0.308,sessions
session_tag_by_sessions,35,bashoutput,1,0.308,sessions
session_tag_by_sessions,36,sleep,1,0.308,sessions
session_tag_by_sessions,37,visdesign,1,0.308,sessions
session_tag_by_sessions,38,implement,1,0.308,sessions
session_tag_by_sessions,39,mergefuncs,1,0.308,sessions
session_tag_by_sessions,40,hello,1,0.308,sessions
session_tag_by_sessions,41,findtable,1,0.308,sessions
session_tag_by_sessions,42,readcmd,1,0.308,sessions
session_tag_by_sessions,43,listsrc,1,0.308,sessions
session_tag_by_sessions,44,refactorchk,1,0.308,sessions
session_tag_by_sessions,45,reviewbu,1,0.308,sessions
session_tag_by_sessions,46,grep,1,0.308,sessions
session_tag_by_sessions,47,verifyimport,1,0.308,sessions
session_tag_by_sessions,48,severity,1,0.308,sessions
session_tag_by_sessions,49,smoketest,1,0.308,sessions
session_tag_by_sessions,50,mergeconflic,1,0.308,sessions
session_tag_by_sessions,51,uxdesign,1,0.308,sessions
session_tag_by_sessions,52,uximprove,1,0.308,sessions
session_tag_by_sessions,53,backup,1,0.308,sessions
session_tag_by_sessions,54,docwrite,1,0.308,sessions
session_tag_by_sessions,55,marketdoc,1,0.308,sessions
session_tag_by_sessions,56,gotomarket,1,0.308,sessions
session_tag_by_sessions,57,plan,1,0.308,sessions
session_tag_by_sessions,58,cleanlocal,1,0.308,sessions
session_tag_by_sessions,59,cover,1,0.308,sessions
session_tag_by_sessions,60,license,1,0.308,sessions
prompt_tag_by_prompt_rows,1,refactor,899,31.445,prompt_rows
prompt_tag_by_prompt_rows,2,review,448,15.67,prompt_rows
prompt_tag_by_prompt_rows,3,analyze,200,6.995,prompt_rows
prompt_tag_by_prompt_rows,4,design,124,4.337,prompt_rows
prompt_tag_by_prompt_rows,5,docs,123,4.302,prompt_rows
prompt_tag_by_prompt_rows,6,test,122,4.267,prompt_rows
prompt_tag_by_prompt_rows,7,research,82,2.868,prompt_rows
prompt_tag_by_prompt_rows,8,trace,53,1.854,prompt_rows
prompt_tag_by_prompt_rows,9,testcodex,28,0.979,prompt_rows
prompt_tag_by_prompt_rows,10,evaluate,26,0.909,prompt_rows
prompt_tag_by_prompt_rows,11,validate,22,0.769,prompt_rows
prompt_tag_by_prompt_rows,12,docsupdate,21,0.735,prompt_rows
prompt_tag_by_prompt_rows,13,compare,21,0.735,prompt_rows
prompt_tag_by_prompt_rows,14,debug,20,0.7,prompt_rows
prompt_tag_by_prompt_rows,15,tag,18,0.63,prompt_rows
prompt_tag_by_prompt_rows,16,build,15,0.525,prompt_rows
prompt_tag_by_prompt_rows,17,cleanup,15,0.525,prompt_rows
prompt_tag_by_prompt_rows,18,check,14,0.49,prompt_rows
prompt_tag_by_prompt_rows,19,optimize,12,0.42,prompt_rows
prompt_tag_by_prompt_rows,20,explain,12,0.42,prompt_rows
prompt_tag_by_prompt_rows,21,read,12,0.42,prompt_rows
prompt_tag_by_prompt_rows,22,impact,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,23,example,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,24,treeify,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,25,prompt,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,26,countlines,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,27,verify,11,0.385,prompt_rows
prompt_tag_by_prompt_rows,28,summary,9,0.315,prompt_rows
prompt_tag_by_prompt_rows,29,branching,7,0.245,prompt_rows
prompt_tag_by_prompt_rows,30,benchmark,7,0.245,prompt_rows
prompt_tag_by_prompt_rows,31,audit,7,0.245,prompt_rows
prompt_tag_by_prompt_rows,32,abstract,7,0.245,prompt_rows
prompt_tag_by_prompt_rows,33,analyzesess,6,0.21,prompt_rows
prompt_tag_by_prompt_rows,34,branding,6,0.21,prompt_rows
prompt_tag_by_prompt_rows,35,ignore,6,0.21,prompt_rows
prompt_tag_by_prompt_rows,36,update,6,0.21,prompt_rows
prompt_tag_by_prompt_rows,37,docupdate,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,38,policy,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,39,eval,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,40,commit,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,41,rootpidrefs,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,42,refactordocs,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,43,claimid,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,44,jsonokno,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,45,paperagentfl,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,46,criterion,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,47,rmarkdownfix,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,48,merge,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,49,plan,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,50,featurereq,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,51,codegen,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,52,testdesign,5,0.175,prompt_rows
prompt_tag_by_prompt_rows,53,challenge,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,54,cli,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,55,network,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,56,refine,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,57,log,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,58,output,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,59,uxdesigncodx,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,60,docwrite,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,61,cleanups,4,0.14,prompt_rows
prompt_tag_by_prompt_rows,62,designdoc,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,63,docgen,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,64,setup,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,65,feedback,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,66,report,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,67,install,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,68,smoke,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,69,analysis,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,70,search,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,71,uxdesign,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,72,doc,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,73,updatedocs,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,74,apiupdate,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,75,adapt,3,0.105,prompt_rows
prompt_tag_by_prompt_rows,76,docrewrite,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,77,translate,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,78,register,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,79,foldersetup,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,80,docsreview,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,81,agentsight,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,82,comment,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,83,push,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,84,agentsightr,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,85,deployed,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,86,codex,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,87,bootstrap,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,88,config,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,89,designfix,2,0.07,prompt_rows
prompt_tag_by_prompt_rows,90,procfs,2,0.07,prompt_rows
